Date,State,County,Latitude,Longitude,StateAbbr,county_fips,population,median_income,poverty_rate,file
2020-01-01,Arizona,La Paz County,33.72919,-113.9812,AZ,12.0,21035.0,34956.0,0.2295,2020 ACS 5yr
2020-01-01,Arizona,Mohave County,35.70419,-113.7581,AZ,15.0,210998.0,47686.0,0.1619,2020 ACS 5yr
2020-01-01,Arizona,Santa Cruz County,31.52594,-110.8466,AZ,23.0,46594.0,41424.0,0.2145,2020 ACS 5yr
2020-01-01,Arizona,Apache County,35.39563,-109.4888,,,,,,2020 ACS 5yr
2020-01-01,Arizona,Cochise County,31.87952,-109.7512,AZ,3.0,126442.0,51505.0,0.1521,2020 ACS 5yr
2020-01-01,Arizona,,34.29308,-111.6647,AZ,,,,,2020 ACS 5yr
2020-01-01,Arizona,Greenlee County,33.21553,-109.2403,AZ,11.0,9465.0,66368.0,0.1331,2020 ACS 5yr
2020-01-01,Arizona,Coconino County,35.83867,-111.7705,AZ,5.0,142254.0,59000.0,0.171,2020 ACS 5yr
2020-01-01,Arizona,Navajo County,35.39955,-110.3214,AZ,17.0,110271.0,43140.0,0.2532,2020 ACS 5yr
2020-01-01,Arizona,Pima County,32.09727,-111.7898,AZ,19.0,1038476.0,55023.0,0.1594,2020 ACS 5yr
2020-01-01,Arizona,Pinal County,32.90432,-111.3448,AZ,21.0,447559.0,60968.0,0.1213,2020 ACS 5yr
2020-01-01,Arizona,Yuma County,32.76896,-113.9058,AZ,27.0,211931.0,48790.0,0.1818,2020 ACS 5yr
2020-01-01,Arizona,Graham County,32.93268,-109.8875,AZ,9.0,38304.0,55693.0,0.2115,2020 ACS 5yr
2020-01-01,Arkansas,Pope County,35.44766,-93.03419,AR,115.0,63926.0,46004.0,0.1587,2020 ACS 5yr
2020-01-01,Arkansas,Columbia County,33.21429,-93.22728,AR,27.0,23620.0,37609.0,0.2434,2020 ACS 5yr
2020-01-01,Arkansas,Prairie County,34.82981,-91.55273,AR,117.0,8138.0,42754.0,0.1036,2020 ACS 5yr
2020-01-01,Arkansas,Newton County,35.91997,-93.2178,AR,101.0,7753.0,39542.0,0.1049,2020 ACS 5yr
2020-01-01,Arkansas,Garland County,34.57679,-93.15041,AR,51.0,99043.0,48150.0,0.1699,2020 ACS 5yr
2020-01-01,Arkansas,Grant County,34.29,-92.42364,AR,53.0,18229.0,59051.0,0.1266,2020 ACS 5yr
2020-01-01,Arkansas,Stone County,35.85978,-92.15689,AR,137.0,12582.0,36067.0,0.204,2020 ACS 5yr
2020-01-01,Arkansas,Clark County,34.05093,-93.17637,AR,19.0,22341.0,39500.0,0.2094,2020 ACS 5yr
2020-01-01,Arkansas,Searcy County,35.91086,-92.69949,AR,129.0,7898.0,35077.0,0.2587,2020 ACS 5yr
